Board    Depth    Par-S    Par-E    Evals    Total-T  Eval-T   S:0      P:0      S:1      P:1      S:2      P:2     
19x19    1.0      0.0      1.0      96.0     0.00167  0.00139  95.0     0.0      0.0      0.0      0.0      0.0     
19x19    1.0      0.0      0.0      96.0     0.00214  0.00189  95.0     0.0      0.0      0.0      0.0      0.0     
19x19    1.0      1.0      1.0      96.0     0.00161  0.00135  95.0     0.0      0.0      0.0      0.0      0.0     
19x19    1.0      1.0      0.0      96.0     0.00213  0.00188  95.0     0.0      0.0      0.0      0.0      0.0     
19x19    2.0      0.0      1.0      3665.0   0.06662  0.05639  95.0     0.0      3486.0   83.0     0.0      0.0     
19x19    2.0      0.0      0.0      3665.0   0.09328  0.0834   95.0     0.0      3486.0   83.0     0.0      0.0     
19x19    2.0      1.0      1.0      3665.0   0.06629  0.0561   95.0     0.0      3486.0   83.0     0.0      0.0     
19x19    2.0      1.0      0.0      3665.0   0.09378  0.08385  95.0     0.0      3486.0   83.0     0.0      0.0     
19x19    3.0      0.0      1.0      189544.0 3.69588  3.1474   95.0     0.0      2426.0   89.0     185512.0 1421.0  
19x19    3.0      0.0      0.0      189544.0 5.4832   4.9465   95.0     0.0      2426.0   89.0     185512.0 1421.0  
19x19    3.0      1.0      1.0      189544.0 3.6785   3.13147  95.0     0.0      2426.0   89.0     185512.0 1421.0  
19x19    3.0      1.0      0.0      189544.0 5.48102  4.94424  95.0     0.0      2426.0   89.0     185512.0 1421.0  
